"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"Nov 2015","17.719,92","17.672,62","17.977,85","17.210,43","2,30B","0,32%"
"Oct 2015","17.663,54","16.278,62","17.799,96","16.013,66","2,61B","8,47%"
"Sept 2015","16.284,70","16.528,03","16.933,43","15.942,37","2,72B","-1,47%"
"Août 2015","16.528,03","17.696,74","17.704,76","15.370,33","2,73B","-6,57%"
"Juill 2015","17.689,86","17.638,12","18.137,12","17.399,17","2,03B","0,40%"
"Juin 2015","17.619,51","18.017,82","18.188,81","17.576,50","2,22B","-2,17%"
"Mai 2015","18.010,68","17.859,27","18.351,36","17.733,12","1,83B","0,95%"
"Avr 2015","17.840,52","17.778,52","18.175,56","17.585,01","2,17B","0,36%"
"Mar 2015","17.776,12","18.134,05","18.288,63","17.579,27","2,47B","-1,97%"
"Févr 2015","18.132,70","17.169,99","18.244,38","17.037,76","1,75B","5,64%"
"Jan 2015","17.164,95","17.823,07","17.951,78","17.136,30","2,17B","-3,69%"
"Déc 2014","17.823,07","17.827,27","18.103,45","17.067,59","2,22B","-0,03%"
"Nov 2014","17.828,24","17.390,90","17.894,83","17.278,36","1,52B","2,52%"
"Oct 2014","17.390,52","17.040,46","17.395,54","15.855,12","2,31B","2,04%"
"Sept 2014","17.042,90","17.097,42","17.350,64","16.934,43","1,87B","-0,32%"
"Août 2014","17.098,45","16.561,70","17.153,80","16.333,78","1,48B","3,23%"
"Juill 2014","16.563,30","16.828,53","17.151,56","16.563,30","1,69B","-1,56%"
"Juin 2014","16.826,60","16.716,85","16.978,02","16.673,65","1,76B","0,65%"
"Mai 2014","16.717,17","16.580,26","16.735,51","16.341,30","1,64B","0,82%"
"Avr 2014","16.580,84","16.458,05","16.631,63","16.015,32","1,99B","0,75%"
"Mar 2014","16.457,66","16.321,71","16.505,70","16.046,99","2,10B","0,83%"
"Févr 2014","16.321,71","15.697,69","16.398,95","15.340,69","2,07B","3,97%"
"Jan 2014","15.698,85","16.572,17","16.573,07","15.617,55","2,18B","-5,30%"
"Déc 2013","16.576,66","16.087,12","16.588,25","15.703,79","2,06B","3,05%"
"Nov 2013","16.086,41","15.558,01","16.174,51","15.522,18","1,82B","3,48%"
"Oct 2013","15.545,75","15.132,49","15.721,00","14.719,43","2,21B","2,75%"
"Sept 2013","15.129,67","14.801,55","15.709,58","14.777,48","2,37B","2,16%"
"Août 2013","14.810,31","15.503,85","15.658,43","14.760,41","2,33B","-4,45%"
"Juill 2013","15.499,54","14.911,60","15.634,32","14.858,93","2,57B","3,96%"
"Juin 2013","14.909,60","15.123,55","15.340,09","14.551,27","2,93B","-1,36%"
"Mai 2013","15.115,57","14.839,80","15.542,40","14.687,05","2,77B","1,86%"
