"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"Nov 2015","4.957,60","4.848,86","5.011,65","4.751,03","2,48B","1,22%"
"Oct 2015","4.897,66","4.518,03","4.947,02","4.386,10","2,82B","9,93%"
"Sept 2015","4.455,29","4.586,33","4.733,05","4.278,57","2,88B","-4,25%"
"Août 2015","4.652,95","5.076,80","5.217,80","4.230,49","2,66B","-8,45%"
"Juill 2015","5.082,61","4.849,43","5.184,74","4.601,90","2,70B","6,10%"
"Juin 2015","4.790,20","5.029,05","5.095,04","4.712,97","2,95B","-4,35%"
"Mai 2015","5.007,89","5.060,50","5.193,77","4.874,90","2,43B","-0,76%"
"Avr 2015","5.046,49","5.009,63","5.283,71","4.987,26","2,98B","0,26%"
"Mar 2015","5.033,64","4.937,43","5.106,04","4.856,14","2,89B","1,66%"
"Févr 2015","4.951,48","4.613,31","4.951,48","4.584,37","2,58B","7,54%"
"Jan 2015","4.604,25","4.294,05","4.679,26","4.076,16","3,07B","7,76%"
"Déc 2014","4.272,75","4.354,19","4.427,74","3.926,34","2,47B","-2,67%"
"Nov 2014","4.390,18","4.225,81","4.403,55","4.118,50","2,41B","3,71%"
"Oct 2014","4.233,09","4.400,61","4.427,76","3.789,11","3,83B","-4,15%"
"Sept 2014","4.416,24","4.383,62","4.509,58","4.334,01","2,22B","0,80%"
"Août 2014","4.381,04","4.236,35","4.401,52","4.109,31","2,22B","3,18%"
"Juill 2014","4.246,14","4.438,77","4.490,72","4.238,27","2,41B","-4,00%"
"Juin 2014","4.422,84","4.523,90","4.598,65","4.407,18","2,31B","-2,14%"
"Mai 2014","4.519,57","4.473,83","4.536,83","4.400,91","2,31B","0,72%"
"Avr 2014","4.487,39","4.408,74","4.504,14","4.319,28","2,35B","2,18%"
"Mar 2014","4.391,50","4.338,79","4.432,50","4.183,00","2,68B","-0,38%"
"Févr 2014","4.408,08","4.160,28","4.420,94","4.080,60","2,39B","5,82%"
"Jan 2014","4.165,72","4.307,40","4.351,21","4.098,71","2,51B","-3,03%"
"Déc 2013","4.295,95","4.294,65","4.309,31","4.051,25","1,73B","0,02%"
"Nov 2013","4.295,21","4.302,03","4.356,28","4.211,82","1,71B","-0,11%"
"Oct 2013","4.299,89","4.151,92","4.309,92","4.105,67","2,00B","3,78%"
"Sept 2013","4.143,44","3.974,79","4.227,21","3.927,63","2,02B","5,33%"
"Août 2013","3.933,78","3.996,81","4.123,89","3.933,78","1,82B","-1,48%"
"Juill 2013","3.992,69","3.761,57","4.007,23","3.668,77","1,99B","6,79%"
"Juin 2013","3.738,91","3.929,68","3.979,53","3.575,17","2,03B","-5,31%"
"Mai 2013","3.948,59","3.828,62","4.072,24","3.819,04","2,03B","2,38%"
"Avr 2013","3.856,75","3.729,82","3.886,45","3.584,38","2,38B","3,36%"
"Mar 2013","3.731,42","3.712,42","3.871,58","3.661,21","2,21B","0,23%"
"Févr 2013","3.723,00","3.734,66","3.787,53","3.600,81","2,20B","-0,26%"
"Jan 2013","3.732,60","3.702,66","3.793,26","3.680,61","2,04B","2,51%"
